Valuation,Industry,Country,Year Founded,Funding,ROI
2000,8,44,2012,219,1781
2000,11,44,2013,498,1502
2000,9,44,2011,325,1675
2000,8,44,2019,152,1848
2000,8,44,2012,538,1462
2000,11,1,2004,222,1778
2000,8,24,2013,190,1810
2000,6,44,2015,450,1550
2000,10,44,2016,255,1745
2000,10,44,2014,195,1805
2000,4,44,2016,139,1861
2000,8,21,2019,236,1764
2000,11,9,2006,445,1555
2000,10,44,2020,298,1702
2000,13,44,2017,624,1376
2000,3,44,2014,266,1734
2000,11,22,2015,274,1726
2000,11,37,2009,902,1098
2000,11,44,2019,179,1821
2000,8,17,2016,403,1597
2000,6,36,2009,397,1603
2000,8,16,2016,364,1636
2000,9,9,2019,285,1715
2000,13,16,2013,517,1483
2000,6,27,2015,577,1423
2000,11,44,2011,315,1685
2000,6,19,2018,612,1388
2000,10,44,2013,403,1597
2000,4,44,2016,358,1642
2000,14,43,2012,311,1689
2000,1,44,2011,251,1749
2000,1,44,2016,195,1805
2000,3,44,2013,792,1208
2000,3,44,2007,542,1458
2000,11,44,2014,261,1739
2000,5,44,2011,237,1763
2000,8,44,2019,231,1769
2000,6,16,2009,663,1337
2000,8,33,2018,200,1800
2000,8,44,2015,275,1725
2000,13,44,2015,497,1503
2000,8,44,2014,557,1443
2000,14,44,2013,417,1583
2000,11,4,2005,229,1771
2000,13,44,2010,275,1725
2000,1,44,2014,218,1782
2000,8,45,2013,434,1566
2000,11,44,2012,334,1666
2000,11,44,2013,277,1723
2000,6,19,2015,509,1491
2000,4,7,2011,474,1526
2000,3,44,2015,423,1577
2000,2,9,2017,792,1208
2000,8,28,2014,378,1622
2000,1,44,2009,422,1578
2000,8,44,2015,402,1598
2000,11,44,2011,400,1600
2000,14,9,2006,710,1290
2000,11,44,2012,525,1475
2000,6,36,2001,287,1713
2000,13,17,2016,550,1450
2000,10,44,2012,259,1741
2000,13,44,2012,351,1649
2000,11,44,2014,172,1828
2000,1,22,2013,305,1695
2000,9,44,2016,240,1760
2000,10,44,2007,374,1626
2000,13,43,2018,193,1807
2000,12,9,2005,298,1702
2000,8,44,2009,676,1324
2000,1,9,2012,401,1599
2000,8,6,2015,345,1655
2000,11,44,2000,96,1904
2000,2,17,2011,599,1401
2000,8,44,2012,507,1493
2000,10,44,2014,295,1705
2000,8,19,2017,301,1699
2000,0,44,2018,300,1700
2000,11,44,2016,397,1603
2000,6,19,2010,441,1559
2000,14,17,2016,593,1407
2000,8,43,2011,529,1471
2000,11,44,2011,349,1651
2000,8,44,2019,268,1732
2000,11,44,2013,507,1493
2000,1,44,2016,305,1695
2000,8,44,2010,450,1550
2000,8,43,2016,496,1504
2000,8,44,2017,277,1723
2000,8,44,2015,365,1635
2000,6,19,2014,371,1629
2000,11,44,2012,487,1513
2000,8,43,2014,791,1209
2000,6,16,2019,422,1578
2000,1,9,2015,1000,1000
2000,1,34,2016,536,1464
2000,11,15,2016,210,1790
2000,6,20,2014,438,1562
2000,13,44,2012,640,1360
2000,12,44,2011,293,1707
2000,1,44,2012,658,1342
2000,11,44,2014,341,1659
2000,2,16,2006,449,1551
2000,1,9,2016,115,1885
2000,8,29,2013,281,1719
2000,3,44,2012,218,1782
2000,8,44,2017,302,1698
2000,8,7,2015,433,1567
2000,5,44,2021,300,1700
2000,8,28,2012,381,1619
2000,11,44,2011,100,1900
2000,14,44,2017,456,1544
2000,8,44,2017,370,1630
2000,5,44,2015,410,1590
2000,5,44,2007,475,1525
2000,11,44,2010,299,1701
2000,9,16,2015,450,1550
2000,9,44,2011,251,1749
2000,3,9,2017,523,1477
2000,1,44,2013,121,1879
2000,6,9,2013,517,1483
2000,11,44,2013,342,1658
2000,11,44,2010,550,1450
